Deuteronomy 1:9	And I spake unto you at that time, saying, I am not able to bear you myself alone:
Deuteronomy 1:31	And in the wilderness, where thou hast seen how that the LORD thy God bare thee, as a man doth bear his son, in all the way that ye went, until ye came into this place.
Deuteronomy 1:32	Yet in this thing ye did not believe the LORD your God,
Deuteronomy 1:33	Who went in the way before you, to search you out a place to pitch your tents in, in fire by night, to show you by what way ye should go, and in a cloud by day.
Deuteronomy 1:34	And the LORD heard the voice of your words, and was wroth, and sware, saying,
Deuteronomy 1:35	Surely there shall not one of these men of this evil generation see that good land, which I sware to give unto your fathers.
Deuteronomy 1:36	Save Caleb the son of Jephunneh; he shall see it, and to him will I give the land that he hath trodden upon, and to his children, because he hath wholly followed the LORD.
Deuteronomy 1:37	Also the LORD was angry with me for your sakes, saying, Thou also shalt not go in thither.
Deuteronomy 1:38	But Joshua the son of Nun, which standeth before thee, he shall go in thither: encourage him: for he shall cause Israel to inherit it.
Deuteronomy 1:39	Moreover your little ones, which ye said should be a prey, and your children, which in that day had no knowledge between good and evil, they shall go in thither, and unto them will I give it, and they shall possess it.
Deuteronomy 1:40	But as for you, turn you, and take your journey into the wilderness by the way of the Red sea.
Deuteronomy 1:41	Then ye answered and said unto me, We have sinned against the LORD, we will go up and fight, according to all that the LORD our God commanded us. And when ye had girded on every man his weapons of war, ye were ready to go up into the hill.
Deuteronomy 1:42	And the LORD said unto me, Say unto them. Go not up, neither fight; for I am not among you; lest ye be smitten before your enemies.
Deuteronomy 1:43	So I spake unto you; and ye would not hear, but rebelled against the commandment of the LORD, and went presumptuously up into the hill.
Deuteronomy 1:44	And the Amorites, which dwelt in that mountain, came out against you, and chased you, as bees do, and destroyed you in Seir, even unto Hormah.
Deuteronomy 1:45	And ye returned and wept before the LORD; but the LORD would not hearken to your voice, nor give ear unto you.
Deuteronomy 1:46	So ye abode in Kadesh many days, according unto the days that ye abode there.
Deuteronomy 2:1	Then we turned, and took our journey into the wilderness by the way of the Red sea, as the LORD spake unto me: and we compassed mount Seir many days.
Deuteronomy 2:2	And the LORD spake unto me, saying,
Deuteronomy 2:3	Ye have compassed this mountain long enough: turn you northward.
Deuteronomy 2:4	And command thou the people, saying, Ye are to pass through the coast of your brethren the children of Esau, which dwell in Seir; and they shall be afraid of you: take ye good heed unto yourselves therefore:
Deuteronomy 2:5	Meddle not with them; for I will not give you of their land, no, not so much as a foot breadth; because I have given mount Seir unto Esau for a possession.
Deuteronomy 2:6	Ye shall buy meat of them for money, that ye may eat; and ye shall also buy water of them for money, that ye may drink.
Deuteronomy 2:7	For the LORD thy God hath blessed thee in all the works of thy hand: he knoweth thy walking through this great wilderness: these forty years the LORD thy God hath been with thee; thou hast lacked nothing.
Deuteronomy 2:8	And when we passed by from our brethren the children of Esau, which dwelt in Seir, through the way of the plain from Elath, and from Eziongaber, we turned and passed by the way of the wilderness of Moab.
Deuteronomy 2:9	And the LORD said unto me, Distress not the Moabites, neither contend with them in battle: for I will not give thee of their land for a possession; because I have given Ar unto the children of Lot for a possession.
Deuteronomy 2:10	The Emims dwelt therein in times past, a people great, and many, and tall, as the Anakims;
Deuteronomy 2:11	Which also were accounted giants, as the Anakims; but the Moabites called them Emims.
Deuteronomy 2:12	The Horims also dwelt in Seir beforetime; but the children of Esau succeeded them, when they had destroyed them from before them, and dwelt in their stead; as Israel did unto the land of his possession, which the LORD gave unto them.
