1 Kings 15:2	Three years reigned he in Jerusalem. and his mother's name was Maachah, the daughter of Abishalom.
1 Kings 15:22	Then king Asa made a proclamation throughout all Judah; none was exempted: and they took away the stones of Ramah, and the timber thereof, wherewith Baasha had builded; and king Asa built with them Geba of Benjamin, and Mizpah.
1 Kings 15:23	The rest of all the acts of Asa, and all his might, and all that he did, and the cities which he built, are they not written in the book of the chronicles of the kings of Judah? Nevertheless in the time of his old age he was diseased in his feet.
1 Kings 15:24	And Asa slept with his fathers, and was buried with his fathers in the city of David his father: and Jehoshaphat his son reigned in his stead.
1 Kings 15:25	And Nadab the son of Jeroboam began to reign over Israel in the second year of Asa king of Judah, and reigned over Israel two years.
1 Kings 15:26	And he did evil in the sight of the LORD, and walked in the way of his father, and in his sin wherewith he made Israel to sin.
1 Kings 15:27	And Baasha the son of Ahijah, of the house of Issachar, conspired against him; and Baasha smote him at Gibbethon, which belonged to the Philistines; for Nadab and all Israel laid siege to Gibbethon.
1 Kings 15:28	Even in the third year of Asa king of Judah did Baasha slay him, and reigned in his stead.
1 Kings 15:29	And it came to pass, when he reigned, that he smote all the house of Jeroboam; he left not to Jeroboam any that breathed, until he had destroyed him, according unto the saying of the LORD, which he spake by his servant Ahijah the Shilonite:
1 Kings 15:30	Because of the sins of Jeroboam which he sinned, and which he made Israel sin, by his provocation wherewith he provoked the LORD God of Israel to anger.
1 Kings 15:31	Now the rest of the acts of Nadab, and all that he did, are they not written in the book of the chronicles of the kings of Israel?
1 Kings 15:32	And there was war between Asa and Baasha king of Israel all their days.
1 Kings 15:33	In the third year of Asa king of Judah began Baasha the son of Ahijah to reign over all Israel in Tirzah, twenty and four years.
1 Kings 15:34	And he did evil in the sight of the LORD, and walked in the way of Jeroboam, and in his sin wherewith he made Israel to sin.
1 Kings 16:1	Then the word of the LORD came to Jehu the son of Hanani against Baasha, saying,
1 Kings 16:2	Forasmuch as I exalted thee out of the dust, and made thee prince over my people Israel; and thou hast walked in the way of Jeroboam, and hast made my people Israel to sin, to provoke me to anger with their sins;
1 Kings 16:3	Behold, I will take away the posterity of Baasha, and the posterity of his house; and will make thy house like the house of Jeroboam the son of Nebat.
1 Kings 16:4	Him that dieth of Baasha in the city shall the dogs eat; and him that dieth of his in the fields shall the fowls of the air eat.
1 Kings 16:5	Now the rest of the acts of Baasha, and what he did, and his might, are they not written in the book of the chronicles of the kings of Israel?
1 Kings 16:6	So Baasha slept with his fathers, and was buried in Tirzah: and Elah his son reigned in his stead.
1 Kings 16:7	And also by the hand of the prophet Jehu the son of Hanani came the word of the LORD against Baasha, and against his house, even for all the evil that he did in the sight of the LORD, in provoking him to anger with the work of his hands, in being like the house of Jeroboam; and because he killed him.
1 Kings 16:8	In the twenty and sixth year of Asa king of Judah began Elah the son of Baasha to reign over Israel in Tirzah, two years.
1 Kings 16:9	And his servant Zimri, captain of half his chariots, conspired against him, as he was in Tirzah, drinking himself drunk in the house of Arza steward of his house in Tirzah.
1 Kings 16:10	And Zimri went in and smote him, and killed him, in the twenty and seventh year of Asa king of Judah, and reigned in his stead.
1 Kings 16:11	And it came to pass, when he began to reign, as soon as he sat on his throne, that he slew all the house of Baasha: he left him not one that pisseth against a wall, neither of his kinsfolk, nor of his friends.
1 Kings 16:12	Thus did Zimri destroy all the house of Baasha, according to the word of the LORD, which he spake against Baasha by Jehu the prophet.
1 Kings 16:13	For all the sins of Baasha, and the sins of Elah his son, by which they sinned, and by which they made Israel to sin, in provoking the LORD God of Israel to anger with their vanities.
1 Kings 16:14	Now the rest of the acts of Elah, and all that he did, are they not written in the book of the chronicles of the kings of Israel?
1 Kings 16:15	In the twenty and seventh year of Asa king of Judah did Zimri reign seven days in Tirzah. And the people were encamped against Gibbethon, which belonged to the Philistines.
1 Kings 16:16	And the people that were encamped heard say, Zimri hath conspired, and hath also slain the king: wherefore all Israel made Omri, the captain of the host, king over Israel that day in the camp.
1 Kings 16:17	And Omri went up from Gibbethon, and all Israel with him, and they besieged Tirzah.
