Daniel 5:27	TEKEL; Thou art weighed in the balances, and art found wanting.
Daniel 6:24	And the king commanded, and they brought those men which had accused Daniel, and they cast them into the den of lions, them, their children, and their wives; and the lions had the mastery of them, and brake all their bones in pieces or ever they came at the bottom of the den.
Daniel 6:25	Then king Darius wrote unto all people, nations, and languages, that dwell in all the earth; Peace be multiplied unto you.
Daniel 6:26	I make a decree, That in every dominion of my kingdom men tremble and fear before the God of Daniel: for he is the living God, and stedfast for ever, and his kingdom that which shall not be destroyed, and his dominion shall be even unto the end.
Daniel 6:27	He delivereth and rescueth, and he worketh signs and wonders in heaven and in earth, who hath delivered Daniel from the power of the lions.
Daniel 6:28	So this Daniel prospered in the reign of Darius, and in the reign of Cyrus the Persian.
Daniel 7:1	In the first year of Belshazzar king of Babylon Daniel had a dream and visions of his head upon his bed: then he wrote the dream, and told the sum of the matters.
Daniel 7:2	Daniel spake and said, I saw in my vision by night, and, behold, the four winds of the heaven strove upon the great sea.
Daniel 7:3	And four great beasts came up from the sea, diverse one from another.
Daniel 7:4	The first was like a lion, and had eagle's wings: I beheld till the wings thereof were plucked, and it was lifted up from the earth, and made stand upon the feet as a man, and a man's heart was given to it.
Daniel 7:5	And behold another beast, a second, like to a bear, and it raised up itself on one side, and it had three ribs in the mouth of it between the teeth of it: and they said thus unto it, Arise, devour much flesh.
Daniel 7:6	After this I beheld, and lo another, like a leopard, which had upon the back of it four wings of a fowl; the beast had also four heads; and dominion was given to it.
Daniel 7:7	After this I saw in the night visions, and behold a fourth beast, dreadful and terrible, and strong exceedingly; and it had great iron teeth: it devoured and brake in pieces, and stamped the residue with the feet of it: and it was diverse from all the beasts that were before it; and it had ten horns.
Daniel 7:8	I considered the horns, and, behold, there came up among them another little horn, before whom there were three of the first horns plucked up by the roots: and, behold, in this horn were eyes like the eyes of man, and a mouth speaking great things.
Daniel 7:9	I beheld till the thrones were cast down, and the Ancient of days did sit, whose garment was white as snow, and the hair of his head like the pure wool: his throne was like the fiery flame, and his wheels as burning fire.
Daniel 7:10	A fiery stream issued and came forth from before him: thousand thousands ministered unto him, and ten thousand times ten thousand stood before him: the judgment was set, and the books were opened.
Daniel 7:11	I beheld then because of the voice of the great words which the horn spake: I beheld even till the beast was slain, and his body destroyed, and given to the burning flame.
Daniel 7:12	As concerning the rest of the beasts, they had their dominion taken away: yet their lives were prolonged for a season and time.
Daniel 7:13	I saw in the night visions, and, behold, one like the Son of man came with the clouds of heaven, and came to the Ancient of days, and they brought him near before him.
Daniel 7:14	And there was given him dominion, and glory, and a kingdom, that all people, nations, and languages, should serve him: his dominion is an everlasting dominion, which shall not pass away, and his kingdom that which shall not be destroyed.
Daniel 7:15	I Daniel was grieved in my spirit in the midst of my body, and the visions of my head troubled me.
Daniel 7:16	I came near unto one of them that stood by, and asked him the truth of all this. So he told me, and made me know the interpretation of the things.
Daniel 7:17	These great beasts, which are four, are four kings, which shall arise out of the earth.
