2 Chronicles 12:14	And he did evil, because he prepared not his heart to seek the LORD.
2 Chronicles 13:15	Then the men of Judah gave a shout: and as the men of Judah shouted, it came to pass, that God smote Jeroboam and all Israel before Abijah and Judah.
2 Chronicles 13:16	And the children of Israel fled before Judah: and God delivered them into their hand.
2 Chronicles 13:17	And Abijah and his people slew them with a great slaughter: so there fell down slain of Israel five hundred thousand chosen men.
2 Chronicles 13:18	Thus the children of Israel were brought under at that time, and the children of Judah prevailed, because they relied upon the LORD God of their fathers.
2 Chronicles 13:19	And Abijah pursued after Jeroboam, and took cities from him, Bethel with the towns thereof, and Jeshanah with the towns thereof, and Ephraim with the towns thereof.
2 Chronicles 13:20	Neither did Jeroboam recover strength again in the days of Abijah: and the LORD struck him, and he died.
2 Chronicles 13:21	But Abijah waxed mighty, and married fourteen wives, and begat twenty and two sons, and sixteen daughters.
2 Chronicles 13:22	And the rest of the acts of Abijah, and his ways, and his sayings, are written in the story of the prophet Iddo.
2 Chronicles 14:1	So Abijah slept with his fathers, and they buried him in the city of David: and Asa his son reigned in his stead. In his days the land was quiet ten years.
2 Chronicles 14:2	And Asa did that which was good and right in the eyes of the LORD his God:
2 Chronicles 14:3	For he took away the altars of the strange gods, and the high places, and brake down the images, and cut down the groves:
2 Chronicles 14:4	And commanded Judah to seek the LORD God of their fathers, and to do the law and the commandment.
2 Chronicles 14:5	Also he took away out of all the cities of Judah the high places and the images: and the kingdom was quiet before him.
2 Chronicles 14:6	And he built fenced cities in Judah: for the land had rest, and he had no war in those years; because the LORD had given him rest.
2 Chronicles 14:7	Therefore he said unto Judah, Let us build these cities, and make about them walls, and towers, gates, and bars, while the land is yet before us; because we have sought the LORD our God, we have sought him, and he hath given us rest on every side. So they built and prospered.
2 Chronicles 14:8	And Asa had an army of men that bare targets and spears, out of Judah three hundred thousand; and out of Benjamin, that bare shields and drew bows, two hundred and fourscore thousand: all these were mighty men of valor.
2 Chronicles 14:9	And there came out against them Zerah the Ethiopian with an host of a thousand thousand, and three hundred chariots; and came unto Mareshah.
2 Chronicles 14:10	Then Asa went out against him, and they set the battle in array in the valley of Zephathah at Mareshah.
2 Chronicles 14:11	And Asa cried unto the LORD his God, and said, LORD, it is nothing with thee to help, whether with many, or with them that have no power: help us, O LORD our God; for we rest on thee, and in thy name we go against this multitude. O LORD, thou art our God; let no man prevail against thee.
2 Chronicles 14:12	So the LORD smote the Ethiopians before Asa, and before Judah; and the Ethiopians fled.
2 Chronicles 14:13	And Asa and the people that were with him pursued them unto Gerar: and the Ethiopians were overthrown, that they could not recover themselves; for they were destroyed before the LORD, and before his host; and they carried away very much spoil.
2 Chronicles 14:14	And they smote all the cities round about Gerar; for the fear of the LORD came upon them: and they spoiled all the cities; for there was exceeding much spoil in them.
2 Chronicles 14:15	They smote also the tents of cattle, and carried away sheep and camels in abundance, and returned to Jerusalem.
2 Chronicles 15:1	And the Spirit of God came upon Azariah the son of Oded:
2 Chronicles 15:2	And he went out to meet Asa, and said unto him, Hear ye me, Asa, and all Judah and Benjamin; The LORD is with you, while ye be with him; and if ye seek him, he will be found of you; but if ye forsake him, he will forsake you.
2 Chronicles 15:3	Now for a long season Israel hath been without the true God, and without a teaching priest, and without law.
2 Chronicles 15:4	But when they in their trouble did turn unto the LORD God of Israel, and sought him, he was found of them.
2 Chronicles 15:5	And in those times there was no peace to him that went out, nor to him that came in, but great vexations were upon all the inhabitants of the countries.
2 Chronicles 15:6	And nation was destroyed of nation, and city of city: for God did vex them with all adversity.
2 Chronicles 15:7	Be ye strong therefore, and let not your hands be weak: for your work shall be rewarded.
2 Chronicles 15:8	And when Asa heard these words, and the prophecy of Oded the prophet, he took courage, and put away the abominable idols out of all the land of Judah and Benjamin, and out of the cities which he had taken from mount Ephraim, and renewed the altar of the LORD, that was before the porch of the LORD.
2 Chronicles 15:9	And he gathered all Judah and Benjamin, and the strangers with them out of Ephraim and Manasseh, and out of Simeon: for they fell to him out of Israel in abundance, when they saw that the LORD his God was with him.
2 Chronicles 15:10	So they gathered themselves together at Jerusalem in the third month, in the fifteenth year of the reign of Asa.
