Isaiah 2:16	And upon all the ships of Tarshish, and upon all pleasant pictures.
Isaiah 3:23	The glasses, and the fine linen, and the hoods, and the vails.
Isaiah 3:24	And it shall come to pass, that instead of sweet smell there shall be stink; and instead of a girdle a rent; and instead of well set hair baldness; and instead of a stomacher a girding of sackcloth; and burning instead of beauty.
Isaiah 3:25	Thy men shall fall by the sword, and thy mighty in the war.
Isaiah 3:26	And her gates shall lament and mourn; and she being desolate shall sit upon the ground.
Isaiah 4:1	And in that day seven women shall take hold of one man, saying, We will eat our own bread, and wear our own apparel: only let us be called by thy name, to take away our reproach.
Isaiah 4:2	In that day shall the branch of the LORD be beautiful and glorious, and the fruit of the earth shall be excellent and comely for them that are escaped of Israel.
Isaiah 4:3	And it shall come to pass, that he that is left in Zion, and he that remaineth in Jerusalem, shall be called holy, even every one that is written among the living in Jerusalem:
Isaiah 4:4	When the Lord shall have washed away the filth of the daughters of Zion, and shall have purged the blood of Jerusalem from the midst thereof by the spirit of judgment, and by the spirit of burning.
Isaiah 4:5	And the LORD will create upon every dwelling place of mount Zion, and upon her assemblies, a cloud and smoke by day, and the shining of a flaming fire by night: for upon all the glory shall be a defence.
Isaiah 4:6	And there shall be a tabernacle for a shadow in the day time from the heat, and for a place of refuge, and for a covert from storm and from rain.
Isaiah 5:1	Now will I sing to my wellbeloved a song of my beloved touching his vineyard. My wellbeloved hath a vineyard in a very fruitful hill:
Isaiah 5:2	And he fenced it, and gathered out the stones thereof, and planted it with the choicest vine, and built a tower in the midst of it, and also made a winepress therein: and he looked that it should bring forth grapes, and it brought forth wild grapes.
Isaiah 5:3	And now, O inhabitants of Jerusalem, and men of Judah, judge, I pray you, betwixt me and my vineyard.
Isaiah 5:4	What could have been done more to my vineyard, that I have not done in it? wherefore, when I looked that it should bring forth grapes, brought it forth wild grapes?
Isaiah 5:5	And now go to; I will tell you what I will do to my vineyard: I will take away the hedge thereof, and it shall be eaten up; and break down the wall thereof, and it shall be trodden down:
Isaiah 5:6	And I will lay it waste: it shall not be pruned, nor digged; but there shall come up briers and thorns: I will also command the clouds that they rain no rain upon it.
Isaiah 5:7	For the vineyard of the LORD of hosts is the house of Israel, and the men of Judah his pleasant plant: and he looked for judgment, but behold oppression; for righteousness, but behold a cry.
Isaiah 5:8	Woe unto them that join house to house, that lay field to field, till there be no place, that they may be placed alone in the midst of the earth!
Isaiah 5:9	In mine ears said the LORD of hosts, Of a truth many houses shall be desolate, even great and fair, without inhabitant.
Isaiah 5:10	Yea, ten acres of vineyard shall yield one bath, and the seed of an homer shall yield an ephah.
Isaiah 5:11	Woe unto them that rise up early in the morning, that they may follow strong drink; that continue until night, till wine inflame them!
