Genesis 27:24	And he said, Art thou my very son Esau? And he said, I am.
Genesis 28:16	And Jacob awaked out of his sleep, and he said, Surely the LORD is in this place; and I knew it not.
Genesis 28:17	And he was afraid, and said, How dreadful is this place! this is none other but the house of God, and this is the gate of heaven.
Genesis 28:18	And Jacob rose up early in the morning, and took the stone that he had put for his pillows, and set it up for a pillar, and poured oil upon the top of it.
Genesis 28:19	And he called the name of that place Bethel: but the name of that city was called Luz at the first.
Genesis 28:20	And Jacob vowed a vow, saying, If God will be with me, and will keep me in this way that I go, and will give me bread to eat, and raiment to put on,
Genesis 28:21	So that I come again to my father's house in peace; then shall the LORD be my God:
Genesis 28:22	And this stone, which I have set for a pillar, shall be God's house: and of all that thou shalt give me I will surely give the tenth unto thee.
Genesis 29:1	Then Jacob went on his journey, and came into the land of the people of the east.
Genesis 29:2	And he looked, and behold a well in the field, and, lo, there were three flocks of sheep lying by it; for out of that well they watered the flocks: and a great stone was upon the well's mouth.
Genesis 29:3	And thither were all the flocks gathered: and they rolled the stone from the well's mouth, and watered the sheep, and put the stone again upon the well's mouth in his place.
Genesis 29:4	And Jacob said unto them, My brethren, whence be ye? And they said, Of Haran are we.
Genesis 29:5	And he said unto them, Know ye Laban the son of Nahor? And they said, We know him.
