1 Chronicles 8:26	And Shamsherai, and Shehariah, and Athaliah,
1 Chronicles 9:25	And their brethren, which were in their villages, were to come after seven days from time to time with them.
1 Chronicles 9:26	For these Levites, the four chief porters, were in their set office, and were over the chambers and treasuries of the house of God.
1 Chronicles 9:27	And they lodged round about the house of God, because the charge was upon them, and the opening thereof every morning pertained to them.
1 Chronicles 9:28	And certain of them had the charge of the ministering vessels, that they should bring them in and out by tale.
1 Chronicles 9:29	Some of them also were appointed to oversee the vessels, and all the instruments of the sanctuary, and the fine flour, and the wine, and the oil, and the frankincense, and the spices.
1 Chronicles 9:30	And some of the sons of the priests made the ointment of the spices.
1 Chronicles 9:31	And Mattithiah, one of the Levites, who was the firstborn of Shallum the Korahite, had the set office over the things that were made in the pans.
1 Chronicles 9:32	And other of their brethren, of the sons of the Kohathites, were over the shewbread, to prepare it every sabbath.
1 Chronicles 9:33	And these are the singers, chief of the fathers of the Levites, who remaining in the chambers were free: for they were employed in that work day and night.
1 Chronicles 9:34	These chief fathers of the Levites were chief throughout their generations; these dwelt at Jerusalem.
1 Chronicles 9:35	And in Gibeon dwelt the father of Gibeon, Jehiel, whose wife's name was Maachah:
